Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Sony Interactive Entertainment,Bravo Team VR,2018,Shooter,0.12,0.09,0.02,0.04,0.27
Tripwire Interactive,Killing Floor 2 ,2016,Shooter,0.19,0.03,0,0.05,0.27
Sony Interactive Entertainment,Robinson: The Journey,2016,Action-Adventure,0.14,0.09,0,0.05,0.27
Sony Interactive Entertainment,DriveClub VR,2016,Racing,0.12,0.09,0.01,0.04,0.27
PQube,Fate/Extella: The Umbral Star,2016,Action,0.12,0,0.12,0.03,0.27
Capcom,Ultimate Marvel vs. Capcom 3,2017,Fighting,0.19,0,0.02,0.04,0.26
NIS America,New Danganronpa V3: Minna no Koroshiai Shin Gakki,2017,Adventure,0.09,0.05,0.07,0.03,0.25
Tecmo Koei,Samurai Warriors 4,2014,Fighting,0.08,0.07,0.06,0.03,0.25
THQ Nordic,Darksiders III,2018,Action,0.13,0.07,0,0.04,0.25
Electronic Arts,NBA Live 15,2014,Sports,0.16,0.04,0,0.04,0.25
EA Sports,NBA Live 18,2017,Sports,0.2,0,0,0.05,0.24
Sony Computer Entertainment,Tearaway Unfolded,2015,Platform,0.07,0.13,0,0.04,0.24
Namco Bandai Games,.hack//G.U. Last Recode,2017,Role-Playing,0.1,0.04,0.08,0.03,0.24
Milestone S.r.l.,Ride,2015,Racing,0.04,0.13,0.03,0.03,0.24
Ubisoft,Just Dance 2017,2016,Misc,0.08,0.12,0,0.04,0.24
Sold Out,The Escapists 2,2017,Action,0.04,0.16,0,0.04,0.24
Activision,Transformers: Devastation,2015,Action,0.11,0.09,0,0.04,0.24
Nordic Games,Darksiders II,2015,Action-Adventure,0.1,0.1,0,0.04,0.24
Konami Digital Entertainment,Jikkyou Powerful Pro Baseball 2016,2016,Sports,0,0,0.24,0,0.24
Bethesda Softworks,The Elder Scrolls Online: Morrowind,2017,MMO,0.11,0.09,0,0.04,0.24
Namco Bandai Games,Digimon World: Next Order,2017,Role-Playing,0.13,0.05,0.02,0.04,0.24
Astragon,theHunter: Call of the Wild,2017,Shooter,0.19,0,0,0.04,0.24
Activision,Tony Hawk's Pro Skater 5,2015,Sports,0.11,0.08,0,0.04,0.23
Activision,Angry Birds: Star Wars,2013,Puzzle,0.11,0.09,0,0.04,0.23
THQ Nordic,Elex,2017,Role-Playing,0.03,0.16,0,0.04,0.23
Sony Interactive Entertainment,RIGS: Mechanized Combat League,2016,Action,0.11,0.06,0.02,0.04,0.23
Activision,Transformer: Rise of the Dark Spark,2014,Shooter,0.08,0.11,0.01,0.04,0.23
Deep Silver,Dead Island Definitive Collection,2016,Action,0.09,0.08,0.03,0.03,0.23
Konami Digital Entertainment,Metal Gear Survive,2018,Action,0.08,0.06,0.05,0.03,0.23
Sony Interactive Entertainment,Singstar Celebration,2017,Music,0.04,0.15,0,0.03,0.23
505 Games,Dead by Daylight,2017,Action,0.11,0.06,0.02,0.04,0.22
Koei Tecmo,Attack on Titan 2,2018,Action,0.09,0.04,0.06,0.03,0.22
Telltale Games,The Wolf Among Us,2014,Adventure,0.11,0.07,0,0.04,0.22
Codemasters,Micro Machines: World Series,2017,Racing,0.03,0.16,0,0.03,0.22
Tecmo Koei,Bladestorm: Nightmare,2015,Action,0.11,0.04,0.03,0.03,0.22
Rebellion Developments,Zombie Army Trilogy,2015,Shooter,0.06,0.13,0,0.03,0.22
Warner Bros. Interactive Entertainment,Outlast Trinity,2017,Action,0.09,0.09,0,0.04,0.22
Sony Interactive Entertainment,EVE: Valkyrie,2016,Shooter,0.11,0.06,0,0.04,0.21
PQube,Senran Kagura: Peach Beach Splash,2017,Action,0.09,0.02,0.08,0.02,0.21
NIS America,Ys VIII: Lacrimosa of Dana,2017,Role-Playing,0.08,0.04,0.08,0.02,0.21
Focus Home Interactive,Bound By Flame,2014,Action,0.08,0.09,0,0.04,0.21
EA Sports,NBA Live 16,2015,Sports,0.13,0.05,0,0.04,0.21
Telltale Games,7 Days to Die,2016,Action,0.09,0.08,0,0.03,0.21
Tecmo Koei,Dynasty Warriors 8: Empires,2014,Misc,0.07,0.07,0.04,0.03,0.21
Capcom,Dragon's Dogma,2017,Role-Playing,0.07,0.07,0.03,0.03,0.21
Namco Bandai Games,Godzilla (2015),2014,Action,0.11,0.03,0.03,0.03,0.2
Ubisoft,Eagle Flight,2016,Adventure,0.09,0.08,0,0.03,0.2
Deep Silver,Agents of Mayhem,2017,Action,0.08,0.08,0,0.03,0.2
Milestone S.r.l.,MotoGP 14 ,2014,Racing,0.05,0.11,0,0.03,0.2
Frontier Developments,Elite: Dangerous,2017,Simulation,0.06,0.1,0,0.03,0.19
Sony Computer Entertainment,Singstar: Ultimate Party,2014,Music,0,0.16,0,0.03,0.19
Tecmo Koei,Toukiden Kiwami,2015,Action,0.06,0.07,0.03,0.03,0.19
Telltale Games,Batman: A Telltale Game Series,2016,Adventure,0.09,0.07,0,0.03,0.19
Koch Media,The Surge,2017,Action,0.07,0.08,0.01,0.03,0.19
Milestone S.r.l.,MotoGP 15,2015,Racing,0,0.13,0.04,0.02,0.18
Capcom,Resident Evil: Revelations,2017,Action,0.06,0.06,0.04,0.02,0.18
Marvelous Interactive,Senran Kagura: Estival Versus,2015,Action,0.08,0,0.09,0.02,0.18
Telltale Games,Back to the Future: The Game,2015,Adventure,0.1,0.05,0,0.03,0.18
Warner Bros. Interactive Entertainment,The Walking Dead - The Telltale Series: A New Frontier,2017,Adventure,0.11,0.04,0,0.03,0.17
Capcom,Resident Evil 6,2016,Shooter,0.1,0,0.05,0.02,0.17
Square Enix,Final Fantasy XIV: Heavensward,2015,MMO,0,0.09,0.06,0.02,0.17
Square Enix,Final Fantasy XIV: Stormblood,2017,MMO,0.05,0.06,0.04,0.02,0.17
Arc System Works,Guilty Gear Xrd: Sign,2014,Fighting,0.11,0,0.04,0.02,0.17
Activision,Prototype: Biohazard Bundle,2016,Action,0.14,0,0,0.03,0.17
PQube,BlazBlue Central Fiction,2016,Fighting,0.1,0,0.05,0.02,0.17
Milestone,MXGP 3: The Official Motocross Videogame,2017,Racing,0.06,0.08,0,0.03,0.17
Milestone S.r.l,Ride 2,2016,Racing,0.07,0.06,0.01,0.03,0.16
Capcom,Dead Rising 4,2017,Action-Adventure,0.08,0.05,0,0.03,0.16
System 3,Putty Squad,2013,Platform,0.06,0.07,0,0.03,0.16
Namco Bandai Games,Digimon Story: Cyber Sleuth - Hacker's Memory,2017,Role-Playing,0.05,0.05,0.04,0.02,0.16
Sony Interactive Entertainment,Battlezone,2016,Action,0.09,0.04,0,0.03,0.16
Namco Bandai Games,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017,Fighting,0.07,0.04,0.03,0.02,0.16
Tecmo Koei,Berserk and the Band of the Hawk,2016,Action,0.07,0.02,0.05,0.02,0.16
PQube,BlazBlue: Chrono Phantasma Extend,2015,Fighting,0.08,0.04,0.02,0.02,0.16
Paradox Interactive ,Pillars of Eternity,2017,Role-Playing,0.11,0.02,0,0.03,0.16
Deep Silver,Valkyria: Azure Revolution,2017,Role-Playing,0.04,0.03,0.07,0.02,0.16
Sony Computer Entertainment,Gravity Rush Remastered,2015,Action-Adventure,0.02,0.06,0.05,0.02,0.16
NIS America,Psycho-Pass: Mandatory Happiness,2016,Visual Novel,0.1,0.02,0,0.03,0.15
505 Games,Brothers: A Tale of Two Sons,2015,Adventure,0.04,0.09,0,0.02,0.15
Tecmo Koei,Warriors Orochi 3,2014,Action,0.04,0.05,0.04,0.02,0.15
Deep Silver,Wasteland 2,2015,Role-Playing,0.1,0,0.03,0.02,0.15
Tecmo Koei,Atelier Sophie: The Alchemist of the Mysterious Book,2015,Role-Playing,0.04,0.03,0.07,0.01,0.15
Dusenberry Martin Racing,NASCAR Heat Evolution,2016,Racing,0.12,0,0,0.03,0.15
Sega,Yakuza: Ishin,2014,Adventure,0,0,0.15,0,0.15
Tecmo Koei,Toukiden 2,2016,Action,0.04,0,0.1,0.01,0.15
Insomniac Games,Song of the Deep,2016,Action,0.12,0,0,0.03,0.15
Namco Bandai Games,Super Robot Wars V,2017,Role-Playing,0,0,0.15,0,0.15
Tecmo Koei,Blue Reflection: Maboroshi ni Mau - Shoujo no Ken,2017,Role-Playing,0.07,0,0.06,0.02,0.14
Idea Factory International,Yonmegami Online: Cyber Dimension Neptune,2017,Role-Playing,0.06,0,0.07,0.01,0.14
NIS America,Grand Kingdom,2015,Role-Playing,0.08,0,0.04,0.02,0.14
Tecmo Koei,Arslan: The Warriors of Legend,2016,Action,0.03,0.04,0.06,0.01,0.14
Focus Home Interactive,Pro Cycling Manager 2016,2016,Sports,0,0.12,0,0.02,0.14
Yacht Club Games,Shovel Knight,2015,Platform,0.08,0.04,0,0.02,0.14
Little Orbit,Adventure Time: Finn & Jake Investigations,2015,Action,0.07,0.05,0,0.02,0.14
PQube,Guilty Gear Xrd -Revelator-,2016,Fighting,0.06,0,0.07,0.01,0.14
Gearbox Software,We Happy Few,2018,Action-Adventure,0.08,0.04,0,0.02,0.14
Ubisoft,Rocksmith 2014 Edition Remastered,2016,Music,0.11,0,0,0.03,0.14
Ubisoft,The Crew: Wild Run,2015,Racing,0,0.12,0,0.02,0.14
Milestone S.r.l.,MXGP 2,2016,Racing,0.05,0.06,0,0.02,0.14
Koch Media,MotoGP 17,2017,Racing,0.04,0.07,0,0.02,0.14
Idea Factory International,Fairy Fencer F: Advent Dark Force,2015,Role-Playing,0.06,0,0.06,0.01,0.14
Tecmo Koei,Samurai Warriors 4-II,2015,Action,0.04,0.02,0.07,0.01,0.13
Ravenscourt,The Golf Club,2014,Sports,0.09,0.02,0,0.02,0.13
Sega,Hatsune Miku: Project Diva X,2016,Music,0.08,0,0.04,0.02,0.13
505 Games,NASCAR Heat 2,2017,Racing,0.11,0,0,0.02,0.13
Gearbox Software,Bulletstorm: Full Clip Edition,2017,Shooter,0.05,0.06,0,0.02,0.13
Namco Bandai Games,Valentino Rossi: The Game,2016,Racing,0.05,0.05,0,0.02,0.13
Maximum Games,Golf Club 2,2017,Sports,0.05,0.06,0,0.02,0.13
Acquire,Akiba's Trip 2,2014,Action,0.09,0,0.02,0.02,0.13
Bigben Interactive,Rugby 15,2015,Sports,0.05,0.06,0,0.02,0.13
Atlus,Utawarerumono: Futari no Hakuoro,2016,Visual Novel,0.05,0,0.07,0.01,0.13
Nihon Falcom Corporation,The Legend of Heroes: Trails of Cold Steel III,2017,Role-Playing,0,0,0.13,0,0.13
Deep Silver,Utawarerumono: Itsuwari no Kamen,2015,Adventure,0.05,0,0.07,0.01,0.13
Sony Interactive Entertainment,The Inpatient,2018,Action,0.06,0.05,0,0.02,0.13
Tru Blu Entertainment,Don Bradman Cricket 14,2015,Sports,0.01,0.09,0,0.02,0.13
Namco Bandai Games,Sword Art Online: Hollow Fragment,2015,Role-Playing,0,0.11,0,0.02,0.12
Activision,Teenage Mutant Ninja Turtles: Mutants in Manhattan,2016,Action,0.07,0.03,0,0.02,0.12
Sony Interactive Entertainment,Job Simulator,2017,Simulation,0.1,0,0,0.02,0.12
505 Games,Portal Knights,2017,Role-Playing,0.02,0.05,0.03,0.01,0.12
Tecmo Koei,Samurai Warriors 4: Empires,2015,Action,0.03,0.01,0.07,0.01,0.12
NIS America,Danganronpa 1o2 Reload,2017,Adventure,0.08,0,0.02,0.02,0.12
Namco Bandai Games,God Eater 2: Rage Burst,2015,Role-Playing,0,0.01,0.11,0,0.12
Ubisoft,America's Greatest Game Shows: Wheel of Fortune & Jeopardy!,2017,Misc,0.1,0,0,0.02,0.12
Warner Bros. Interactive Entertainment,Marvel's Guardians of the Galaxy: The Telltale Series,2017,Adventure,0.06,0.04,0,0.02,0.12
Namco Bandai Games,Digimon Story: Cyber Sleuth,2016,Role-Playing,0,0.1,0,0.02,0.11
System 3,Constructor HD,2017,Strategy,0.09,0,0,0.02,0.11
Telltale Games,Minecraft: Story Mode - Season Two,2017,Adventure,0.09,0,0,0.02,0.11
THQ Nordic,Darksiders: Warmastered Edition,2016,Action-Adventure,0.07,0.02,0,0.02,0.11
Deep Silver,Mighty No. 9,2016,Platform,0.09,0,0,0.02,0.11
GameTrust,The Invisible Hours,2017,Adventure,0.09,0,0,0.02,0.11
Milestone S.r.l.,Monster Energy Supercross - The Official Videogame,2018,Racing,0.08,0.01,0,0.02,0.11
Namco Bandai Games,The Idolmaster: Platinum Stars,2016,Simulation,0,0,0.11,0,0.11
NIS America,The Witch and the Hundred Knight,2015,Role-Playing,0.03,0.01,0.06,0.01,0.11
Namco Bandai Games,SD Gundam G Generation Genesis,2016,Strategy,0,0,0.11,0,0.11
Grey Box,Rime,2017,Adventure,0.02,0.07,0,0.02,0.11
Namco Bandai Games,Super Robot Wars OG: The Moon Dwellers,2016,Misc,0,0,0.11,0,0.11
Namco Bandai Games,Gundam Breaker 3,2016,Action,0,0,0.11,0,0.11
D3Publisher,Earth Defense Force 2025.1: The Shadow of New Despair,2015,Shooter,0,0,0.11,0,0.11
Devolver Digital,Shadow Warrior (2013),2014,Shooter,0,0.09,0,0.02,0.11
Ubisoft,Assassin's Creed Chronicles,2016,Action,0.02,0.05,0.02,0.01,0.11
Capcom,Mega Man Legacy Collection,2016,Platform,0.09,0,0,0.02,0.11
Namco Bandai Games,Pac-Man Championship Edition 2 + Arcade Game Series,2017,Action,0.08,0,0,0.02,0.1
Nihon Falcom Corporation,Tokyo Xanadu eX+,2016,Role-Playing,0.05,0,0.05,0.01,0.1
505 Games,Stardew Valley,2017,Simulation,0.04,0.04,0,0.02,0.1
Tecmo Koei,Romance of the Three Kingdoms 13,2015,Action,0.03,0,0.06,0.01,0.1
Tecmo Koei,Musou Stars,2017,Action,0.03,0,0.06,0.01,0.1
Capcom,Mega Man Legacy Collection 2,2017,Action,0.06,0,0.02,0.01,0.1
Square Enix,Final Fantasy XIV Online Complete Edition,2017,MMO,0.07,0,0.02,0.02,0.1
Capcom,Devil May Cry 4,2015,Action,0.01,0,0.09,0,0.1
Sega,Puyo Puyo Tetris,2014,Puzzle,0.05,0.03,0,0.02,0.1
NIS America,Natural Doctrine,2014,Role-Playing,0.05,0.02,0.02,0.01,0.1
Kalypso Media,Sudden Strike 4,2017,Strategy,0.05,0.03,0.01,0.02,0.1
Namco Bandai Games,Accel World vs. Sword Art Online: Millennium Twilight,2017,Action,0,0.03,0.06,0.01,0.1
Bethesda Softworks,Wolfenstein The Two Pack,2017,Shooter,0.08,0,0,0.02,0.1
PQube,Guilty Gear Xrd REV 2,2017,Fighting,0.04,0.01,0.03,0.01,0.1
,Ultra Street Fighter IV,N/A,Fighting,0,0.08,0,0.01,0.1
Ravenscourt,Let's Sing 2016,2015,Music,0.08,0,0,0.02,0.1
Capcom,Resident Evil 4 HD,2016,Action-Adventure,0.07,0,0.01,0.02,0.1
Tecmo Koei,Nights of Azure 2,2017,Action,0.04,0,0.04,0.01,0.09
Focus Home Interactive,The Technomancer,2016,Role-Playing,0.04,0.04,0,0.02,0.09
Tecmo Koei,Nights of Azure,2015,Action,0.04,0.04,0,0.02,0.09
Namco Bandai Games,Taiko no Tatsujin: Drum Session!,2017,Music,0,0,0.09,0,0.09
Tecmo Koei,Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,2016,Strategy,0.03,0,0.06,0.01,0.09
Kalypso Media,Grand Ages: Medieval,2015,Strategy,0,0.05,0.03,0.01,0.09
Tru Blu Entertainment,Rugby League Live 4,2017,Sports,0,0.08,0,0.01,0.09
Ubisoft,Toy Soldiers: War Chest,2015,Action,0.07,0,0,0.02,0.09
Namco Bandai Games,God Eater Resurrection,2015,Action,0,0,0.09,0,0.09
Sony Interactive Entertainment,Paragon,2016,Action,0.07,0,0,0.02,0.09
Gaijinworks,Summon Night 6: Lost Borders,2016,Role-Playing,0.03,0,0.05,0.01,0.09
Idea Factory International,Black Rose Valkyrie,2016,Role-Playing,0.04,0,0.04,0.01,0.09
Gearbox Software,Duke Nukem 3D: 20th Anniversary World Tour,2016,Shooter,0.07,0,0,0.02,0.09
Funbox Media,ATV Drift & Tricks,2017,Racing,0.07,0,0,0.02,0.09
Tecmo Koei,Yoru no Nai Kuni,2015,Role-Playing,0,0,0.09,0,0.09
Square Enix,Lara Croft and the Temple of Osiris,2014,Action,0,0.07,0,0.01,0.09
,Dragon's Dogma Online,N/A,Role-Playing,0,0,0.09,0,0.09
Activision,Ghostbusters (2016),2016,Action,0.07,0,0,0.02,0.08
Microids,Agatha Christie's The ABC Murders,2016,Adventure,0.05,0.02,0,0.02,0.08
Xseed Games,Shantae: Half-Genie Hero,2016,Platform,0.06,0,0.01,0.01,0.08
PQube,Earth Defense Force 4.1: The Shadow of New Despair,2015,Shooter,0.05,0.02,0,0.01,0.08
Badland Studio,The Sexy Brutale,2017,Adventure,0.05,0.02,0,0.01,0.08
Nordic Games,Legend of Kay,2015,Action,0.03,0.03,0,0.01,0.08
Ubisoft,Hasbro Family Fun Pack Conquest Edition,2016,Misc,0.07,0,0,0.02,0.08
Maximum Games,Loading Human,2016,Adventure,0.05,0.02,0,0.01,0.08
GameMill,Rapala Fishing Pro Series,2017,Simulation,0.06,0,0,0.02,0.08
Tecmo Koei,Atelier Firis: The Alchemist of the Mysterious Journey,2016,Role-Playing,0.02,0,0.05,0.01,0.08
Capcom,Dead Rising,2016,Action,0.04,0,0.02,0.01,0.08
505 Games,Assetto Corsa,2016,Racing,0,0.06,0.01,0.01,0.08
PQube,Akiba's Beat,2016,Action,0.05,0,0.01,0.01,0.08
PQube,WRC 6,2016,Racing,0.03,0.02,0.01,0.01,0.08
NIS America,God Wars: Future Past,2017,Role-Playing,0.03,0.01,0.02,0.01,0.07
Capcom,Resident Evil 5 HD,2016,Action,0.05,0,0.01,0.01,0.07
Nippon Ichi Software,The Witch and the Hundred Knights 2,2017,Role-Playing,0.03,0,0.03,0.01,0.07
Tecmo Koei,Samurai Warriors: Sanada Maru,2016,Action,0.02,0,0.05,0.01,0.07
Square Enix,Project Setsuna,2016,Role-Playing,0,0,0.07,0,0.07
GameTrust,Has-Been Heroes,2017,Action,0.06,0,0,0.01,0.07
Square Enix,Fortune Street: Dragon Quest & Final Fantasy 30th Anniversary,2017,Misc,0,0,0.07,0,0.07
Focus Home Interactive,Styx: Shards of Darknes,2017,Action,0.06,0,0,0.01,0.07
Capcom,Dead Rising 2,2016,Action,0.04,0,0.02,0.01,0.07
Nordic Games,The Book of Unwritten Tales 2,2015,Adventure,0,0.06,0,0.01,0.07
NIS America,Touhou Genso Rondo: Bullet Ballet,2016,Shooter,0.06,0,0,0.01,0.07
Warner Bros. Interactive Entertainment,The Walking Dead: A Telltale Series Collection,2017,Adventure,0.06,0,0,0.01,0.07
NIS America,The Silver Case,2017,Visual Novel,0.05,0,0.01,0.01,0.07
Bigben Interactive,Hunting Simulator,2017,Shooter,0.06,0,0,0.01,0.07
Bigben Interactive,WRC 7,2017,Racing,0.06,0,0,0.01,0.07
Namco Bandai Games,Kamen Rider: Battride War Genesis,2016,Action,0,0,0.07,0,0.07
Focus Home Interactive,Le Tour de France 2017,2017,Simulation,0,0.06,0,0.01,0.07
Namco Bandai Games,City Shrouded in Shadow,2017,Action-Adventure,0,0,0.07,0,0.07
Aksys Games,SG/ZH: School Girl/Zombie Hunter,2017,Action,0.04,0,0.02,0.01,0.07
Revolution Software,Broken Sword 5: The Serpent's Curse,2015,Adventure,0,0.06,0,0.01,0.07
505 Games,Terraria,2014,Action,0,0.05,0.01,0.01,0.07
Games Workshop,Warhammer: The End Times - Vermintide,2016,Action,0.03,0.03,0,0.01,0.07
Telltale Games,Batman: The Enemy Within,2017,Adventure,0.05,0,0,0.01,0.07
Atari,Atari Flashback Classics: Volume 1,2016,Misc,0.05,0,0,0.01,0.07
Nordic Games,Legend of Kay Anniversary,2015,Action,0,0.06,0,0.01,0.07
PQube,Steins;Gate 0,2015,Adventure,0,0,0.07,0,0.07
Ubisoft,ZombiU,2016,Action,0,0.04,0.01,0.01,0.07
Deep Silver,Risen 3: Titan Lords,2015,Role-Playing,0,0.06,0,0.01,0.07
Maximum Games,Mark McMorris Infinite Air,2016,Sports,0.05,0,0,0.01,0.06
Tecmo Koei,Dead or Alive Xtreme 3: Fortune,2016,Sports,0,0,0.06,0,0.06
NIS America,Birthdays the Beginning,2017,Misc,0.05,0,0,0.01,0.06
Koch Media,Rugby 18,2017,Sports,0.05,0,0,0.01,0.06
Nicalis,The Binding of Isaac,2017,Misc,0.05,0,0,0.01,0.06
Bigben Interactive,Sherlock Holmes: The Devil's Daughter,2016,Adventure,0.05,0,0,0.01,0.06
Tecmo Koei,Atelier Liddy and Soeur: Alchemists of the Mysterious Painting,2017,Role-Playing,0.03,0,0.03,0.01,0.06
Nordic Games,MX vs. ATV Supercross Encore,2015,Sports,0,0.05,0,0.01,0.06
THQ Nordic,MX vs ATV Supercross Encore 2017 Track Edition,2017,Racing,0.05,0,0,0.01,0.06
Namco Bandai Games,Sword Art Online: Game Director's Edition,2015,Role-Playing,0,0,0.06,0,0.06
Ready at Dawn,Deformers,2017,Action,0.05,0,0,0.01,0.06
Tecmo Koei,Nobunaga no Yabou: Souzou,2014,Strategy,0,0,0.06,0,0.06
Square Enix,Dragon Quest X: All in One Package,2017,Role-Playing,0,0,0.06,0,0.06
NIS America,Yomawari: Midnight Shadows,2017,Action,0.02,0,0.04,0,0.06
Telltale Games,Game of Thrones (Telltale),2015,Adventure,0.05,0,0,0.01,0.06
Atari,Atari Flashback Classics: Volume 2,2016,Misc,0.05,0,0,0.01,0.06
Maximum Games,Outcast: Second Contact,2017,Adventure,0.05,0,0,0.01,0.06
Maximum Games,Cartoon Network Battle Crashers,2016,Action,0.05,0,0,0.01,0.06
Bigben Interactive,Handball 16,2015,Sports,0,0.05,0,0.01,0.06
Maximum Games,Extinction,2018,Action,0.05,0,0,0.01,0.06
Big Ben Interactive,Rugby World Cup 2015,2015,Sports,0,0.05,0,0.01,0.06
Aksys Games,Exist Archive: The Other Side of the Sky,2015,Role-Playing,0.02,0,0.03,0,0.06
Activision,King's Quest: The Complete Collection,2016,Adventure,0.05,0,0,0.01,0.06
THQ Nordic,Sine Mora,2017,Action,0.03,0.01,0,0.01,0.06
Sold Out,Aven Colony,2017,Strategy,0.04,0.01,0,0.01,0.06
THQ Nordic,Battle Chasers: Nightwar,2017,Role-Playing,0.03,0.02,0,0.01,0.06
Bigben Interactive,WRC 5: FIA World Rally Championship,2015,Racing,0,0.05,0,0.01,0.06
THQ Nordic,Black Mirror,2017,Adventure,0.04,0,0,0.01,0.05
NIS America,Touhou Genso Wanderer,2017,Action,0.04,0,0,0.01,0.05
Nordic Games,Arcania: Gothic 4,2015,Role-Playing,0.04,0,0,0.01,0.05
Sony Interactive Entertainment,Starblood Arena VR,2017,Shooter,0.04,0,0,0.01,0.05
505 Games,Hellblade,2018,Action-Adventure,0.03,0.01,0,0.01,0.05
Accolade,Bubsy: The Woolies Strike Back,2017,Platform,0.04,0,0,0.01,0.05
Marvelous Interactive,Nitroplus Blasterz: Heroines Infinite Duel,2015,Fighting,0.01,0.01,0.03,0,0.05
Tecmo Koei,Nobunaga's Ambition: Creation,2014,Strategy,0.04,0,0,0.01,0.05
Ubisoft,Child of Light,2014,Role-Playing,0,0.01,0.04,0,0.05
Sega,Phantasy Star Online 2 Episode 4: Deluxe Package,2017,Role-Playing,0,0,0.05,0,0.05
Deep Silver,Saints Row: Gat out of Hell,2015,Action,0,0.04,0,0.01,0.05
Ubisoft,Werewolves Within,2016,Misc,0.04,0,0,0.01,0.05
NIS America,Demon Gaze 2,2017,Role-Playing,0.04,0,0,0.01,0.05
Soedesco,Real Farm,2017,Simulation,0.04,0,0,0.01,0.05
Team17 Digital Ltd,Worms: WMD,2016,Strategy,0.02,0.02,0,0.01,0.05
Microids,Syberia III,2017,Adventure,0.04,0,0,0.01,0.05
Capcom,Sengoku Basara: Sanada Yukimura-Den,2016,Action,0,0,0.05,0,0.05
Capcom,Sengoku Basara 4: Sumeragi,2015,Action,0,0,0.05,0,0.05
Milestone S.r.l,Sébastien Loeb Rally Evo,2016,Racing,0,0.04,0,0.01,0.05
505 Games,Don't Starve,2018,Adventure,0.04,0,0,0.01,0.05
GameMill,Monster Jam: Crush It,2016,Racing,0.04,0,0,0.01,0.05
Introversion Software,Prison Architect,2016,Simulation,0.02,0.02,0,0.01,0.05
Rising Star Games,Assault Suit Leynos,2016,Shooter,0.04,0,0,0.01,0.05
NIS America,Tokyo Twilight Ghost Hunters Daybreak: Special Gigs,2016,Adventure,0.04,0,0,0.01,0.05
Sold Out,Overcooked,2016,Action,0.04,0,0,0.01,0.05
Outright Games,Ben 10 (2017),2017,Action,0.04,0,0,0.01,0.05
Maximum Games,Dead Alliance,2017,Shooter,0.04,0,0,0.01,0.04
Maximum Games,Deer Hunter Reloaded,2017,Shooter,0.04,0,0,0.01,0.04
Sony Interactive Entertainment,That's You,2017,Party,0.04,0,0,0.01,0.04
505 Games,Raid: World War II,2017,Shooter,0.04,0,0,0.01,0.04
Idea Factory International,Hyperdimension Neptunia Victory II,2015,Role-Playing,0,0,0.04,0,0.04
Aksys Games,Zero Escape The Nonary Games,2017,Adventure,0.03,0,0.01,0.01,0.04
Alternative Software,Rugby Challenge 3,2016,Sports,0,0.04,0,0.01,0.04
Kalypso Media,Vikings: Wolves of Midgard,2017,Action,0.03,0.01,0,0.01,0.04
505 Games,INSIDE / LIMBO Double Pack,2017,Platform,0.04,0,0,0.01,0.04
Nighthawk Interactive,The Talos Principle,2015,Puzzle,0,0.04,0,0.01,0.04
Compile Heart,Megadimension Neptunia VIIR,2017,Role-Playing,0.01,0,0.03,0,0.04
MLB.com,R.B.I. Baseball 2016,2016,Sports,0.04,0,0,0.01,0.04
Techland,Pure Farming 2018,2018,Simulation,0.02,0.01,0,0.01,0.04
Nighthawk Interactive,Air Conflicts: Secret Wars,2016,Simulation,0.03,0,0,0.01,0.04
Avanquest,Anima - Gate of Memories,2016,Action,0.01,0.02,0,0.01,0.04
Badland Studio,Axiom Verge,2017,Action,0.03,0,0,0.01,0.04
Merge Games,Unbox: Newbie's Adventure,2017,Action,0.03,0,0,0.01,0.04
Sony Interactive Entertainment,Here They Lie,2016,Adventure,0,0.03,0,0.01,0.04
Arc System Works,Under Night In-Birth Exe:Latest,2017,Fighting,0.01,0,0.03,0,0.04
Maximum Games,Aragami,2016,Action,0.03,0,0,0.01,0.04
CokeM Interactive,Yonder: The Cloud Catcher Chronicles,2017,Action,0.03,0,0,0.01,0.04
Ubisoft,Assassin's Creed Chronicles: China,2015,Action-Adventure,0,0.03,0,0.01,0.04
Namco Bandai Games,JoJo's Bizarre Adventure: Eyes of Heaven,2015,Fighting,0,0,0.04,0,0.04
Kalypso Media,Dungeons 3,2017,Strategy,0.03,0,0,0.01,0.04
Focus Home Interactive,Tour de France 2014,2014,Sports,0,0.03,0,0.01,0.04
NIS America,Danganronpa Another Episode: Ultra Despair Girls,2017,Shooter,0.03,0,0.01,0.01,0.04
PQube,Aegis of Earth: Protonovus Assault,2016,Action,0.03,0.01,0,0.01,0.04
Ubisoft,Just Sing,2016,Music,0.03,0,0,0.01,0.04
Nicalis,Wonder Boy: The Dragon's Trap (Remake),2018,Platform,0.03,0,0,0.01,0.04
Rising Star Games,Lumo,2016,Puzzle,0.03,0,0,0.01,0.04
505 Games,ABZU,2017,Adventure,0.03,0,0,0.01,0.04
Kalypso Media,Shadow Tactics: Blades of the Shogun,2017,Strategy,0.02,0.01,0,0.01,0.04
Merge Games,Darkest Dungeon,2018,Role-Playing,0.02,0,0.01,0.01,0.04
MLB.com,R.B.I. Baseball 2017,2017,Sports,0.03,0,0,0.01,0.04
5pb,Punch Line,2015,Adventure,0.03,0,0,0.01,0.04
Perp Games,VR Karts,2017,Racing,0.03,0,0,0.01,0.04
