Publisher,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
Sony Computer Entertainment,DriveClub,2014,Racing,0.37,1.63,0.02,0.36,2.37
Sony Interactive Entertainment,Uncharted: The Lost Legacy,2017,Action,0.58,1.38,0.04,0.36,2.37
Electronic Arts,Dragon Age III: Inquisition,2014,Role-Playing,1.07,0.8,0.08,0.38,2.34
Hello Games,No Man's Sky,2016,Action-Adventure,0.89,0.97,0.04,0.37,2.26
EA Sports,Madden NFL 15,2014,Sports,1.58,0.25,0,0.41,2.25
Electronic Arts,Need for Speed: Payback,2017,Racing,0.62,1.18,0.04,0.34,2.18
Activision,Destiny: The Taken King,2015,Shooter,0.97,0.8,0.05,0.36,2.18
Electronic Arts,Need for Speed Rivals,2013,Racing,0.75,1.04,0.03,0.35,2.17
Sony Interactive Entertainment,PlayStation VR Worlds,2016,Misc,0.36,1.4,0.09,0.32,2.16
Electronic Arts,Battlefield: Hardline,2015,Shooter,0.72,0.97,0.14,0.33,2.15
Square Enix,Rise of the Tomb Raider,2016,Adventure,0.61,1.08,0.05,0.32,2.07
Sony Computer Entertainment,LittleBigPlanet 3,2014,Platform,0.78,0.93,0.01,0.34,2.06
Bethesda Softworks,The Elder Scrolls Online,2015,MMO,0.74,0.98,0,0.33,2.05
Warner Bros. Interactive Entertainment,Middle-Earth: Shadow of War,2017,Action,0.82,0.84,0.06,0.33,2.04
Square Enix,Dragon Quest XI,2017,Role-Playing,0.29,0.22,1.43,0.1,2.04
505 Games,Rocket League,2016,Sports,0.37,1.34,0,0.31,2.02
Square Enix,Just Cause 3,2015,Action-Adventure,0.53,1.07,0.09,0.3,1.98
Bethesda Softworks,Dishonored 2,2016,Action,0.62,1.02,0.01,0.31,1.97
Warner Bros. Interactive Entertainment,Lego Marvel Super Heroes,2013,Action,0.59,1,0.01,0.3,1.91
Sony Computer Entertainment,Until Dawn,2015,Adventure,0.62,0.92,0.06,0.3,1.9
Sony Computer Entertainment,Knack,2013,Platform,0.45,0.77,0.42,0.23,1.88
Bethesda Softworks,The Evil Within,2014,Action,0.56,0.9,0.11,0.28,1.86
Ubisoft,The Crew,2014,Racing,0.44,1.04,0.03,0.27,1.79
Square Enix,Kingdom Hearts 1.5 + 2.5 Remix,2017,Role-Playing,0.75,0.51,0.23,0.26,1.75
Ubisoft,For Honor,2017,Action,0.73,0.66,0.07,0.28,1.75
Electronic Arts,Titanfall 2,2016,Shooter,0.75,0.62,0.06,0.28,1.72
Warner Bros. Interactive Entertainment,Injustice 2,2017,Fighting,0.88,0.54,0,0.29,1.72
Square Enix,NieR Automata,2017,Role-Playing,0.56,0.51,0.42,0.22,1.71
Namco Bandai Games,Tekken 7,2017,Fighting,0.6,0.72,0.12,0.26,1.7
Deep Silver,Persona 5,2016,Role-Playing,0.62,0.34,0.48,0.2,1.64
Sony Computer Entertainment,The Order: 1886,2015,Shooter,0.44,0.86,0.07,0.25,1.62
Bethesda Softworks,Wolfenstein: The New Order,2014,Shooter,0.48,0.84,0.03,0.25,1.61
Sony Interactive Entertainment,Detroit: Become Human,2018,Adventure,0.55,0.67,0.12,0.24,1.57
Namco Bandai Games,Naruto Shippuden: Ultimate Ninja Storm 4,2016,Fighting,0.71,0.47,0.12,0.24,1.54
2K Sports,NBA 2K14,2013,Sports,0.91,0.35,0.01,0.27,1.54
Square Enix,Tomb Raider (2013),2014,Action-Adventure,0.47,0.74,0.06,0.23,1.51
Namco Bandai Games,Dragon Ball: Xenoverse 2,2016,Action,0.54,0.59,0.14,0.23,1.5
Ubisoft,Rayman Legends,2014,Platform,0.22,1.05,0,0.23,1.5
Electronic Arts,Mass Effect: Andromeda,2017,Role-Playing,0.58,0.67,0,0.25,1.49
Namco Bandai Games,Dragon Ball Fighter Z,2018,Fighting,0.61,0.51,0.12,0.23,1.46
Ubisoft,South Park: The Fractured But Whole,2017,Role-Playing,0.62,0.57,0,0.24,1.43
Electronic Arts,The Sims 4,2017,Simulation,0.44,0.72,0.01,0.22,1.39
Capcom,Street Fighter V,2016,Fighting,0.64,0.42,0.12,0.22,1.39
Bethesda Softworks,Wolfenstein II: The New Colossus,2017,Shooter,0.55,0.58,0.01,0.22,1.36
2K Sports,WWE 2K18,2017,Sports,0.45,0.67,0,0.22,1.33
Warner Bros. Interactive Entertainment,Lego Star Wars: The Force Awakens,2016,Action-Adventure,0.3,0.78,0.02,0.2,1.31
EA Sports,EA Sports UFC 2,2016,Sports,0.44,0.65,0,0.21,1.31
Sony Interactive Entertainment,The Last Guardian,2016,Action-Adventure,0.4,0.58,0.13,0.19,1.29
Take-Two Interactive,WWE 2K16,2015,Sports,0.43,0.65,0,0.21,1.29
2K Games,Borderlands: The Handsome Collection,2015,Shooter,0.69,0.34,0.03,0.22,1.28
Bandai Namco Games,Project CARS,2015,Racing,0.29,0.76,0.04,0.19,1.28
2K Games,WWE 2K17,2016,Sports,0.32,0.7,0,0.19,1.22
Activision,Guitar Hero Live,2015,Music,0.52,0.49,0,0.2,1.21
Konami Digital Entertainment,Metal Gear Solid: Ground Zeroes,2014,Action-Adventure,0.36,0.5,0.17,0.17,1.2
Warner Bros. Interactive Entertainment,Mad Max (2013),2015,Action,0.38,0.59,0.05,0.19,1.2
